指标,熵权法Wo,AHP法Ws,组合权重Wj
A1,0.09673130963044355,0.232,0.15083878577826615
A2,0.03328343682595537,0.077,0.05077006209557322
B1,0.09673130963044355,0.075,0.08803878577826613
B2,0.09673130963044355,0.013,0.06323878577826612
B3,0.09673130963044355,0.022,0.06683878577826613
C1,0.1301597844283614,0.247,0.17689587065701684
C2,0.1301597844283614,0.103,0.11929587065701684
C3,0.1260091365346606,0.159,0.13920548192079635
C4,0.09673130963044355,0.049,0.07763878577826613
C5,0.09673130963044355,0.024,0.06763878577826613
